Class,I0,PA500,HFS,DA,Area,A/DA,Max IP,DR,P
car,525,0,0,229,6844,30,60,221,557
car,330,0,0,121,3163,26,70,99,400
car,552,0,0,265,11888,45,78,254,657
car,380,0,0,138,5402,39,89,105,494
car,363,0,0,125,3290,26,69,104,425
car,390,0,0,119,2476,21,50,108,429
car,290,0,0,75,1190,16,36,66,330
car,276,0,0,92,1756,19,39,83,332
car,470,0,0,185,8185,44,84,164,603
car,423,0,0,172,6108,35,79,153,558
car,410,0,0,256,10623,42,68,247,509
car,500,0,0,219,9819,45,77,207,603
car,439,0,0,121,4879,40,81,90,525
car,367,0,0,173,7065,41,76,155,472
car,486,0,0,254,8136,32,65,245,541
car,390,0,0,246,10056,41,70,236,478
car,269,0,0,80,1964,24,45,67,329
car,300,0,0,97,3040,31,51,82,387
car,325,0,0,229,5705,25,36,227,463
car,294,0,0,195,5541,28,37,192,446
car,500,0,0,145,3055,21,97,108,543
fad,211,0,0,31,152,5,14,27,217
fad,197,0,0,29,82,3,8,28,201
fad,245,0,0,63,1236,20,42,47,292
fad,353,0,0,69,1066,16,44,53,383
fad,243,0,0,69,384,6,10,68,264
fad,260,0,0,58,465,8,18,56,268
fad,250,0,0,57,653,11,18,56,278
fad,200,0,0,42,221,5,11,41,218
fad,355,0,0,90,1034,12,28,87,372
fad,272,0,0,64,719,11,20,61,287
fad,342,0,0,85,1371,16,29,80,385
fad,160,0,0,37,342,9,31,21,188
fad,301,0,0,65,943,15,29,58,336
fad,155,0,0,39,415,11,26,29,185
fad,144,0,0,20,70,4,18,8,160
mas,178,0,0,42,489,12,36,21,216
mas,195,0,0,37,328,9,35,13,233
mas,435,0,0,124,1342,11,37,118,433
mas,250,0,0,71,224,3,9,70,232
mas,340,0,0,89,331,4,20,88,308
mas,236,0,0,48,237,5,36,32,245
mas,481,0,0,79,1154,15,34,71,502
mas,252,0,0,39,494,13,26,29,281
mas,173,0,0,38,192,5,19,32,175
mas,121,0,0,24,144,6,22,11,142
mas,196,0,0,55,843,15,34,43,240
mas,370,0,0,116,1308,11,31,113,366
mas,260,0,0,59,277,5,18,56,249
mas,545,0,0,101,1189,12,29,97,553
mas,310,0,0,99,2741,28,49,85,389
mas,275,0,0,66,1217,18,41,52,328
mas,281,0,0,158,5305,34,46,151,399
mas,327,0,0,76,1665,22,43,63,379
gla,471,0,0,150,2658,18,48,142,491
gla,223,0,0,33,197,6,30,13,252
gla,152,0,0,34,94,3,31,14,181
gla,303,0,0,23,103,5,22,6,322
gla,250,0,0,30,181,6,26,14,280
gla,197,0,0,33,410,12,27,20,232
gla,197,0,0,33,410,12,27,20,232
gla,216,0,0,54,280,5,23,49,215
gla,178,0,0,40,474,12,26,31,209
gla,185,0,0,40,362,9,27,29,210
gla,391,0,0,36,265,7,22,28,401
gla,502,0,0,53,834,16,33,42,544
gla,176,0,0,21,80,4,18,10,192
gla,145,0,0,21,82,4,20,6,163
gla,124,0,0,21,78,4,18,9,135
gla,103,0,0,24,78,3,22,8,125
con,1724,0,0,404,3054,8,71,399,1489
con,1386,0,0,202,8785,43,143,143,1525
con,1084,0,0,192,2938,15,67,180,1064
con,649,0,0,207,3344,16,51,201,624
con,1500,0,0,375,4759,13,78,367,1336
con,770,0,0,175,346,2,25,173,655
con,650,0,0,217,428,2,34,214,529
con,692,0,0,191,304,2,24,189,594
con,1462,0,0,392,5574,14,57,388,1429
con,1497,0,0,640,11072,17,108,631,1178
con,1112,0,0,387,7660,20,86,377,991
con,1271,0,0,555,3613,7,69,551,895
con,1648,0,0,577,11852,21,111,566,1403
con,1536,0,0,637,10814,17,97,632,1198
adi,2100,0,0,390,16641,43,126,381,2073
adi,1800,0,0,301,4406,15,68,293,1742
adi,2100,0,0,451,35672,79,436,113,2461
adi,1666,0,0,73,1402,19,52,59,1747
adi,1700,0,0,121,12331,102,120,-9,2212
adi,1949,0,0,170,3212,19,101,137,1941
adi,1850,0,0,254,13113,52,160,197,1917
adi,2350,0,0,515,27759,54,290,426,2458
adi,1800,0,0,363,15022,41,218,290,1894
adi,1900,0,0,273,7482,27,138,235,1925
adi,1800,0,0,386,13832,36,158,352,1823
adi,1850,0,0,325,8645,27,209,249,1908
adi,1650,0,0,274,5825,21,81,262,1603
adi,2800,0,0,583,31389,54,299,501,2897
adi,2330,0,0,377,25369,67,336,171,2686
adi,2400,0,0,596,37939,64,261,536,2448
adi,2000,0,0,330,15381,47,169,284,2063
adi,2000,0,0,520,40088,77,204,479,2089
adi,2600,0,0,1063,174480,164,419,978,2665
adi,1600,0,0,437,12655,29,104,432,1475
adi,2300,0,0,185,5086,27,179,50,2481
adi,2600,0,0,745,39846,53,154,729,2545
